Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.0,3,7,0.0,1.84E-01
h,0.0,1,8,0.0,1.00E+00
h,0.0,4,9,3.92,4.27E-02
h,0.0,2,11,0.0,4.15E-01
h,0.0,1,12,0.0,1.00E+00
h,0.0,5,14,0.0,3.84E-02
h,0.0,3,17,0.65,1.00E+00
h,0.0,8,18,1.31,5.57E-01
h,0.0,1,19,0.0,1.00E+00
h,0.0,2,20,1.31,5.35E-01
h,0.0,2,21,0.0,4.15E-01
h,0.0,2,22,0.0,4.15E-01
h,0.0,5,23,0.87,1.00E+00
h,0.0,3,24,0.0,1.84E-01
h,0.0,7,25,0.0,8.31E-03
h,0.0,8,26,1.31,5.57E-01
h,0.0,3,27,0.65,1.00E+00
h,0.0,2,29,0.0,4.15E-01
h,0.0,1,31,0.0,1.00E+00
h,0.0,4,32,1.31,6.69E-01
h,0.0,2,33,0.0,4.15E-01
h,0.0,2,34,0.0,4.15E-01
h,0.0,7,35,1.74,3.01E-01
h,0.0,9,36,1.63,2.42E-01
h,0.0,2,39,0.0,4.15E-01
h,0.0,5,40,0.33,3.85E-01
h,0.0,5,41,0.33,3.85E-01
h,0.0,2,42,0.0,4.15E-01
h,0.0,2,43,1.31,5.35E-01
h,0.0,3,44,0.65,1.00E+00
h,0.0,3,45,0.0,1.84E-01
h,0.0,1,46,0.0,1.00E+00
h,0.0,6,47,0.0,1.78E-02
h,0.0,4,48,0.0,8.35E-02
h,0.0,2,49,0.0,4.15E-01
h,0.0,11,50,0.29,5.64E-02
h,0.0,9,51,2.61,2.99E-02
h,0.0,9,52,1.04,7.97E-01
h,0.0,5,53,0.33,3.85E-01
h,0.0,4,54,0.44,7.35E-01
h,0.0,7,56,0.52,6.02E-01
h,0.0,10,57,3.05,9.33E-03
h,0.0,4,58,0.0,8.35E-02
h,0.0,5,59,0.0,3.84E-02
h,0.0,4,60,1.31,6.69E-01
h,0.0,7,61,0.0,8.31E-03
h,0.0,16,62,0.09,2.88E-04
h,0.0,7,63,0.52,6.02E-01
h,0.0,5,64,0.33,3.85E-01
h,0.0,12,65,0.0,1.92E-04
h,0.0,6,66,0.65,7.76E-01
h,0.0,15,67,0.0,2.06E-05
h,0.0,8,68,0.19,5.14E-02
