,0
-1.0,"rgb(127.0, 59.0, 8.0)"
-0.99,"rgb(127.0, 59.0, 8.0)"
-0.98,"rgb(127.0, 59.0, 8.0)"
-0.97,"rgb(127.0, 59.0, 8.0)"
-0.96,"rgb(127.0, 59.0, 8.0)"
-0.95,"rgb(127.0, 59.0, 8.0)"
-0.94,"rgb(127.0, 59.0, 8.0)"
-0.93,"rgb(127.0, 59.0, 8.0)"
-0.92,"rgb(127.0, 59.0, 8.0)"
-0.91,"rgb(127.0, 59.0, 8.0)"
-0.9,"rgb(127.0, 59.0, 8.0)"
-0.89,"rgb(127.0, 59.0, 8.0)"
-0.88,"rgb(127.0, 59.0, 8.0)"
-0.87,"rgb(127.0, 59.0, 8.0)"
-0.86,"rgb(127.0, 59.0, 8.0)"
-0.85,"rgb(127.0, 59.0, 8.0)"
-0.84,"rgb(127.0, 59.0, 8.0)"
-0.83,"rgb(127.0, 59.0, 8.0)"
-0.82,"rgb(127.0, 59.0, 8.0)"
-0.81,"rgb(127.0, 59.0, 8.0)"
-0.8,"rgb(127.0, 59.0, 8.0)"
-0.79,"rgb(127.0, 59.0, 8.0)"
-0.78,"rgb(127.0, 59.0, 8.0)"
-0.77,"rgb(127.0, 59.0, 8.0)"
-0.76,"rgb(127.0, 59.0, 8.0)"
-0.75,"rgb(127.0, 59.0, 8.0)"
-0.74,"rgb(127.0, 59.0, 8.0)"
-0.73,"rgb(127.0, 59.0, 8.0)"
-0.72,"rgb(127.0, 59.0, 8.0)"
-0.71,"rgb(127.0, 59.0, 8.0)"
-0.7,"rgb(127.0, 59.0, 8.0)"
-0.69,"rgb(127.0, 59.0, 8.0)"
-0.68,"rgb(127.0, 59.0, 8.0)"
-0.67,"rgb(127.0, 59.0, 8.0)"
-0.66,"rgb(127.0, 59.0, 8.0)"
-0.65,"rgb(127.0, 59.0, 8.0)"
-0.64,"rgb(127.0, 59.0, 8.0)"
-0.63,"rgb(127.0, 59.0, 8.0)"
-0.62,"rgb(127.0, 59.0, 8.0)"
-0.61,"rgb(127.0, 59.0, 8.0)"
-0.6,"rgb(127.0, 59.0, 8.0)"
-0.59,"rgb(127.0, 59.0, 8.0)"
-0.58,"rgb(127.0, 59.0, 8.0)"
-0.57,"rgb(127.0, 59.0, 8.0)"
-0.56,"rgb(127.0, 59.0, 8.0)"
-0.55,"rgb(127.0, 59.0, 8.0)"
-0.54,"rgb(127.0, 59.0, 8.0)"
-0.53,"rgb(127.0, 59.0, 8.0)"
-0.52,"rgb(127.0, 59.0, 8.0)"
-0.51,"rgb(127.0, 59.0, 8.0)"
-0.5,"rgb(127.0, 59.0, 8.0)"
-0.49,"rgb(127.0, 59.0, 8.0)"
-0.48,"rgb(127.0, 59.0, 8.0)"
-0.47,"rgb(127.0, 59.0, 8.0)"
-0.46,"rgb(127.0, 59.0, 8.0)"
-0.45,"rgb(127.0, 59.0, 8.0)"
-0.44,"rgb(127.0, 59.0, 8.0)"
-0.43,"rgb(127.0, 59.0, 8.0)"
-0.42,"rgb(127.0, 59.0, 8.0)"
-0.41,"rgb(127.0, 59.0, 8.0)"
-0.4,"rgb(127.0, 59.0, 8.0)"
-0.39,"rgb(127.0, 59.0, 8.0)"
-0.38,"rgb(127.0, 59.0, 8.0)"
-0.37,"rgb(127.0, 59.0, 8.0)"
-0.36,"rgb(127.0, 59.0, 8.0)"
-0.35,"rgb(127.0, 59.0, 8.0)"
-0.34,"rgb(127.0, 59.0, 8.0)"
-0.33,"rgb(127.0, 59.0, 8.0)"
-0.32,"rgb(127.0, 59.0, 8.0)"
-0.31,"rgb(127.0, 59.0, 8.0)"
-0.3,"rgb(127.0, 59.0, 8.0)"
-0.29,"rgb(127.0, 59.0, 8.0)"
-0.28,"rgb(127.0, 59.0, 8.0)"
-0.27,"rgb(127.0, 59.0, 8.0)"
-0.26,"rgb(127.0, 59.0, 8.0)"
-0.25,"rgb(127.0, 59.0, 8.0)"
-0.24,"rgb(127.0, 59.0, 8.0)"
-0.23,"rgb(127.0, 59.0, 8.0)"
-0.22,"rgb(127.0, 59.0, 8.0)"
-0.21,"rgb(127.0, 59.0, 8.0)"
-0.2,"rgb(127.0, 59.0, 8.0)"
-0.19,"rgb(127.0, 59.0, 8.0)"
-0.18,"rgb(127.0, 59.0, 8.0)"
-0.17,"rgb(127.0, 59.0, 8.0)"
-0.16,"rgb(127.0, 59.0, 8.0)"
-0.15,"rgb(127.0, 59.0, 8.0)"
-0.14,"rgb(127.0, 59.0, 8.0)"
-0.13,"rgb(127.0, 59.0, 8.0)"
-0.12,"rgb(127.0, 59.0, 8.0)"
-0.11,"rgb(127.0, 59.0, 8.0)"
-0.1,"rgb(127.0, 59.0, 8.0)"
-0.09,"rgb(127.0, 59.0, 8.0)"
-0.08,"rgb(127.0, 59.0, 8.0)"
-0.07,"rgb(127.0, 59.0, 8.0)"
-0.06,"rgb(127.0, 59.0, 8.0)"
-0.05,"rgb(127.0, 59.0, 8.0)"
-0.04,"rgb(127.0, 59.0, 8.0)"
-0.03,"rgb(127.0, 59.0, 8.0)"
-0.02,"rgb(127.0, 59.0, 8.0)"
-0.01,"rgb(127.0, 59.0, 8.0)"
0.0,"rgb(127.0, 59.0, 8.0)"
0.01,"rgb(131.07843137254903, 61.274509803921575, 7.843137254901961)"
0.02,"rgb(137.19607843137254, 64.68627450980392, 7.607843137254902)"
0.03,"rgb(141.27450980392155, 66.9607843137255, 7.450980392156862)"
0.04,"rgb(147.3921568627451, 70.37254901960785, 7.215686274509804)"
0.05,"rgb(151.47058823529412, 72.64705882352942, 7.058823529411764)"
0.06,"rgb(157.58823529411762, 76.05882352941177, 6.823529411764705)"
0.07,"rgb(161.66666666666666, 78.33333333333334, 6.666666666666666)"
0.08,"rgb(167.78431372549016, 81.74509803921568, 6.431372549019607)"
0.09,"rgb(173.9019607843137, 85.15686274509804, 6.196078431372547)"
0.1,"rgb(177.98039215686273, 87.43137254901961, 6.039215686274509)"
0.11,"rgb(183.41176470588235, 92.11764705882352, 7.372549019607843)"
0.12,"rgb(186.94117647058823, 95.41176470588235, 8.470588235294116)"
0.13,"rgb(192.23529411764702, 100.35294117647058, 10.117647058823525)"
0.14,"rgb(195.76470588235293, 103.6470588235294, 11.215686274509801)"
0.15,"rgb(201.05882352941174, 108.58823529411765, 12.862745098039216)"
0.16,"rgb(204.58823529411762, 111.88235294117646, 13.960784313725489)"
0.17,"rgb(209.88235294117646, 116.8235294117647, 15.607843137254902)"
0.18,"rgb(215.1764705882353, 121.76470588235294, 17.254901960784313)"
0.19,"rgb(218.7058823529412, 125.05882352941177, 18.352941176470587)"
0.2,"rgb(224.0, 130.0, 20.0)"
0.21,"rgb(226.27450980392157, 134.23529411764704, 26.196078431372523)"
0.22,"rgb(229.6862745098039, 140.58823529411762, 35.49019607843136)"
0.23,"rgb(231.96078431372547, 144.8235294117647, 41.68627450980391)"
0.24,"rgb(235.37254901960785, 151.17647058823528, 50.980392156862706)"
0.25,"rgb(238.7843137254902, 157.52941176470588, 60.274509803921546)"
0.26,"rgb(241.05882352941174, 161.76470588235287, 66.47058823529404)"
0.27,"rgb(244.47058823529412, 168.1176470588235, 75.7647058823529)"
0.28,"rgb(246.7450980392157, 172.35294117647055, 81.96078431372545)"
0.29,"rgb(250.15686274509804, 178.70588235294113, 91.25490196078424)"
0.3,"rgb(252.43137254901958, 182.94117647058818, 97.45098039215681)"
0.31,"rgb(253.0980392156863, 187.92156862745097, 107.13725490196074)"
0.32,"rgb(253.1764705882353, 191.05882352941177, 113.64705882352936)"
