Hydrophobicity cutoff,Blob length,Blob hydrophobicity  class,total SNPs,Enrichment,p value,color
0.0,7,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.0,8,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,9,h,4,3.92,0.0427,"rgb(0.0, 0.0, 255.0)"
0.0,11,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,12,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,14,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.0,17,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,18,h,8,1.31,0.557,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,19,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,20,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,21,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,22,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,23,h,5,0.87,1.0,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.0,24,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.0,25,h,7,0.0,0.00831,"rgb(255.0, 0.0, 0.0)"
0.0,26,h,8,1.31,0.557,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,27,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,29,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,31,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,32,h,4,1.31,0.669,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,33,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,34,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,35,h,7,1.74,0.301,"rgb(63.411764705882355, 63.411764705882355, 252.41176470588235)"
0.0,36,h,9,1.63,0.242,"rgb(90.31372549019609, 90.31372549019609, 251.31372549019608)"
0.0,39,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,40,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.0,41,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.0,42,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,43,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,44,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,45,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.0,46,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.0,47,h,6,0.0,0.0178,"rgb(255.0, 0.0, 0.0)"
0.0,48,h,4,0.0,0.0835,"rgb(255.0, 0.0, 0.0)"
0.0,49,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.0,50,h,11,0.29,0.0564,"rgb(252.0980392156863, 71.09803921568627, 71.09803921568627)"
0.0,51,h,9,2.61,0.0299,"rgb(0.0, 0.0, 255.0)"
0.0,52,h,9,1.04,0.797,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.0,53,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.0,54,h,4,0.44,0.735,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.0,56,h,7,0.52,0.602,"rgb(249.82352941176472, 126.8235294117647, 126.8235294117647)"
0.0,57,h,10,3.05,0.00933,"rgb(0.0, 0.0, 255.0)"
0.0,58,h,4,0.0,0.0835,"rgb(255.0, 0.0, 0.0)"
0.0,59,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.0,60,h,4,1.31,0.669,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,61,h,7,0.0,0.00831,"rgb(255.0, 0.0, 0.0)"
0.0,62,h,16,0.09,0.000288,"rgb(254.13725490196077, 21.137254901960784, 21.137254901960784)"
0.0,63,h,7,0.52,0.602,"rgb(249.82352941176472, 126.8235294117647, 126.8235294117647)"
0.0,64,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.0,65,h,12,0.0,0.000192,"rgb(255.0, 0.0, 0.0)"
0.0,66,h,6,0.65,0.776,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,67,h,15,0.0,2.06e-05,"rgb(255.0, 0.0, 0.0)"
0.0,68,h,8,0.19,0.0514,"rgb(253.1176470588235, 46.117647058823536, 46.117647058823536)"
0.0,69,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.0,70,h,12,0.26,0.0431,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.0,71,h,5,0.87,1.0,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.0,72,h,4,0.44,0.735,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.0,73,h,11,0.13,0.00967,"rgb(253.7450980392157, 30.745098039215684, 30.745098039215684)"
0.0,74,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.0,75,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.0,76,h,12,0.65,0.542,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,77,h,12,0.26,0.0431,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.0,78,h,13,0.11,0.00239,"rgb(253.90196078431373, 26.901960784313726, 26.901960784313726)"
0.0,79,h,14,0.36,0.0573,"rgb(251.3921568627451, 88.3921568627451, 88.3921568627451)"
0.0,80,h,10,0.56,0.51,"rgb(249.4313725490196, 136.4313725490196, 136.4313725490196)"
0.0,81,h,12,0.44,0.179,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.0,82,h,6,1.31,0.504,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.0,83,h,13,0.58,0.342,"rgb(249.19607843137254, 142.19607843137254, 142.19607843137254)"
0.0,84,h,9,0.37,0.192,"rgb(251.31372549019608, 90.31372549019609, 90.31372549019609)"
0.0,85,h,6,0.26,0.199,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.0,86,h,8,0.44,0.345,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.0,87,h,12,0.0,0.000192,"rgb(255.0, 0.0, 0.0)"
0.0,88,h,13,0.39,0.102,"rgb(251.15686274509804, 94.15686274509802, 94.15686274509802)"
0.0,89,h,23,0.06,2e-06,"rgb(254.45098039215688, 13.450980392156863, 13.450980392156863)"
0.0,90,h,9,0.16,0.0387,"rgb(253.4313725490196, 38.43137254901961, 38.43137254901961)"
0.0,91,h,28,0.36,0.00468,"rgb(251.3921568627451, 88.3921568627451, 88.3921568627451)"
0.0,92,h,14,0.22,0.0119,"rgb(252.80392156862746, 53.80392156862745, 53.80392156862745)"
0.0,93,h,12,0.65,0.542,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.0,94,h,14,0.22,0.0119,"rgb(252.80392156862746, 53.80392156862745, 53.80392156862745)"
0.0,95,h,11,0.0,0.000406,"rgb(255.0, 0.0, 0.0)"
0.0,96,h,12,0.12,0.00481,"rgb(253.8235294117647, 28.823529411764707, 28.823529411764707)"
0.0,97,h,22,0.06,4.07e-06,"rgb(254.45098039215688, 13.450980392156863, 13.450980392156863)"
0.0,98,h,34,0.62,0.121,"rgb(248.80392156862746, 151.80392156862746, 151.80392156862746)"
0.0,99,h,23,0.12,2.81e-05,"rgb(253.8235294117647, 28.823529411764707, 28.823529411764707)"
0.0,100,h,17,0.28,0.0132,"rgb(252.25490196078434, 67.25490196078432, 67.25490196078432)"
0.01,7,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.01,8,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,9,h,4,3.92,0.0427,"rgb(0.0, 0.0, 255.0)"
0.01,11,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,12,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,14,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.01,17,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.01,18,h,8,1.31,0.557,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.01,19,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,20,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.01,21,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,22,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,23,h,5,0.87,1.0,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.01,24,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.01,25,h,7,0.0,0.00831,"rgb(255.0, 0.0, 0.0)"
0.01,26,h,8,1.31,0.557,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.01,27,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.01,29,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,31,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,32,h,4,1.31,0.669,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.01,33,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,34,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,35,h,7,1.74,0.301,"rgb(63.411764705882355, 63.411764705882355, 252.41176470588235)"
0.01,36,h,9,1.63,0.242,"rgb(90.31372549019609, 90.31372549019609, 251.31372549019608)"
0.01,39,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,40,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.01,41,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.01,42,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,43,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.01,44,h,3,0.65,1.0,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.01,45,h,3,0.0,0.184,"rgb(255.0, 0.0, 0.0)"
0.01,46,h,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,47,h,6,0.0,0.0178,"rgb(255.0, 0.0, 0.0)"
0.01,48,h,4,0.0,0.0835,"rgb(255.0, 0.0, 0.0)"
0.01,49,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.01,50,h,11,0.29,0.0564,"rgb(252.0980392156863, 71.09803921568627, 71.09803921568627)"
0.01,51,h,9,2.61,0.0299,"rgb(0.0, 0.0, 255.0)"
0.01,52,h,9,1.04,0.797,"rgb(234.4313725490196, 234.4313725490196, 245.4313725490196)"
0.01,53,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
0.01,54,h,4,0.44,0.735,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.01,56,h,7,0.52,0.602,"rgb(249.82352941176472, 126.8235294117647, 126.8235294117647)"
0.01,57,h,10,3.05,0.00933,"rgb(0.0, 0.0, 255.0)"
0.01,58,h,4,0.0,0.0835,"rgb(255.0, 0.0, 0.0)"
0.01,59,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.01,60,h,4,1.31,0.669,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.01,61,h,7,0.0,0.00831,"rgb(255.0, 0.0, 0.0)"
0.01,62,h,16,0.09,0.000288,"rgb(254.13725490196077, 21.137254901960784, 21.137254901960784)"
0.01,63,h,7,0.52,0.602,"rgb(249.82352941176472, 126.8235294117647, 126.8235294117647)"
0.01,64,h,5,0.33,0.385,"rgb(251.70588235294116, 80.70588235294117, 80.70588235294117)"
