,0
-1.0,"rgb(255.0, 0.0, 0.0)"
-0.99,"rgb(255.0, 0.0, 0.0)"
-0.98,"rgb(255.0, 0.0, 0.0)"
-0.97,"rgb(255.0, 0.0, 0.0)"
-0.96,"rgb(255.0, 0.0, 0.0)"
-0.95,"rgb(255.0, 0.0, 0.0)"
-0.94,"rgb(255.0, 0.0, 0.0)"
-0.93,"rgb(255.0, 0.0, 0.0)"
-0.92,"rgb(255.0, 0.0, 0.0)"
-0.91,"rgb(255.0, 0.0, 0.0)"
-0.9,"rgb(255.0, 0.0, 0.0)"
-0.89,"rgb(255.0, 0.0, 0.0)"
-0.88,"rgb(255.0, 0.0, 0.0)"
-0.87,"rgb(255.0, 0.0, 0.0)"
-0.86,"rgb(255.0, 0.0, 0.0)"
-0.85,"rgb(255.0, 0.0, 0.0)"
-0.84,"rgb(255.0, 0.0, 0.0)"
-0.83,"rgb(255.0, 0.0, 0.0)"
-0.82,"rgb(255.0, 0.0, 0.0)"
-0.81,"rgb(255.0, 0.0, 0.0)"
-0.8,"rgb(255.0, 0.0, 0.0)"
-0.79,"rgb(255.0, 0.0, 0.0)"
-0.78,"rgb(255.0, 0.0, 0.0)"
-0.77,"rgb(255.0, 0.0, 0.0)"
-0.76,"rgb(255.0, 0.0, 0.0)"
-0.75,"rgb(255.0, 0.0, 0.0)"
-0.74,"rgb(255.0, 0.0, 0.0)"
-0.73,"rgb(255.0, 0.0, 0.0)"
-0.72,"rgb(255.0, 0.0, 0.0)"
-0.71,"rgb(255.0, 0.0, 0.0)"
-0.7,"rgb(255.0, 0.0, 0.0)"
-0.69,"rgb(255.0, 0.0, 0.0)"
-0.68,"rgb(255.0, 0.0, 0.0)"
-0.67,"rgb(255.0, 0.0, 0.0)"
-0.66,"rgb(255.0, 0.0, 0.0)"
-0.65,"rgb(255.0, 0.0, 0.0)"
-0.64,"rgb(255.0, 0.0, 0.0)"
-0.63,"rgb(255.0, 0.0, 0.0)"
-0.62,"rgb(255.0, 0.0, 0.0)"
-0.61,"rgb(255.0, 0.0, 0.0)"
-0.6,"rgb(255.0, 0.0, 0.0)"
-0.59,"rgb(255.0, 0.0, 0.0)"
-0.58,"rgb(255.0, 0.0, 0.0)"
-0.57,"rgb(255.0, 0.0, 0.0)"
-0.56,"rgb(255.0, 0.0, 0.0)"
-0.55,"rgb(255.0, 0.0, 0.0)"
-0.54,"rgb(255.0, 0.0, 0.0)"
-0.53,"rgb(255.0, 0.0, 0.0)"
-0.52,"rgb(255.0, 0.0, 0.0)"
-0.51,"rgb(255.0, 0.0, 0.0)"
-0.5,"rgb(249.98039215686276, 122.98039215686273, 122.98039215686273)"
-0.49,"rgb(249.90196078431373, 124.90196078431372, 124.90196078431372)"
-0.48,"rgb(249.82352941176472, 126.8235294117647, 126.8235294117647)"
-0.47,"rgb(249.7450980392157, 128.74509803921572, 128.74509803921572)"
-0.46,"rgb(249.58823529411765, 132.58823529411762, 132.58823529411762)"
-0.45,"rgb(249.50980392156862, 134.50980392156865, 134.50980392156865)"
-0.44,"rgb(249.4313725490196, 136.4313725490196, 136.4313725490196)"
-0.43,"rgb(249.35294117647058, 138.35294117647058, 138.35294117647058)"
-0.42,"rgb(249.19607843137254, 142.19607843137254, 142.19607843137254)"
-0.41,"rgb(249.11764705882354, 144.11764705882354, 144.11764705882354)"
